N,P,K,temperature,humidity,ph,rainfall,label
87.45071229516849,46.61735698828815,45.18150830480554,28.569089569224076,80.82923312638331,6.38293152152541,303.16851262029564,rice
91.51152093729362,43.30525614065048,44.34048034868772,22.609746921562614,79.67135123214871,6.620981135783017,163.46879021368807,rice
54.12623251230451,42.37712470759027,31.89735103732461,24.94274199778582,77.45987962239394,5.793848149332354,298.62595075686215,rice
76.61335549270197,48.67528204687924,28.602014510292346,22.36685182642445,82.55461294854933,5.924503211288848,255.02792073382687,rice
70.99041965121792,45.083062502067236,35.186347102164824,29.556834553526812,81.93251387631032,5.97114453552205,272.90179648412754,rice
61.68734525043467,50.08863595004755,24.322639008961794,20.015441853304708,82.98430617934562,6.869233289997705,246.8547312475988,rice
78.2652757641764,44.98896304410711,28.17182407706058,21.840467374815873,79.69680614520107,7.028561113109458,253.74473158273847,rice
53.554397669558995,51.24083969394795,36.91934175666947,21.969233999082125,85.05838144420434,7.015499761247975,277.2512047646479,rice
67.41173715166042,44.907876241487855,42.650107451228514,26.926635381367078,79.60412881077355,6.407170511668092,195.74660103975887,rice
62.05690063878994,56.125258223941984,50.84992022856658,23.783969635258998,87.01766448946012,6.680818012523817,214.19520981579504,rice
85.4209340826262,63.38036566465969,39.713391687120385,28.693930967442018,68.90127447955128,6.910951252187612,243.48188272952686,rice
75.51488974301199,48.91760776535502,24.099448683192858,23.340984336487463,83.78556285755873,7.238947022370758,219.2691912690541,rice
67.87259595660218,42.982429564154636,47.32321694161659,24.986253328979053,79.3511989811648,6.756633716556678,243.8831019739216,rice
94.52967485799334,40.979469061226474,37.37870282721786,22.823675540603528,74.68242525933941,6.648060138532288,250.44221088719559,rice
80.07670184963692,45.65412866624853,28.677034063596686,22.738064031703924,80.28642741736616,6.09886136538919,233.54857153335962,rice
86.06076285221808,66.8618590121053,41.396622502654715,24.772651172168292,81.62777042116916,5.540614392350479,238.93944498203132,rice
80.90345314911539,72.63242112485287,38.46111228175102,24.904642027000836,81.82644115147379,5.915660981190234,285.7129125806008,rice
91.27899549030161,55.910319470430466,32.724900361642085,28.2083829328083,74.9907446860386,6.793428546900135,327.61822503239915,rice
65.14195512303968,42.33702270397228,40.79721092070113,22.489573037651404,74.24668284466934,6.534281487403014,197.5078514509558,rice
87.10388645952773,38.80575765766197,52.39947524014032,21.65024012299129,80.38969241897162,6.906758608684835,190.7654273426418,rice
83.41189901906193,61.07142754282428,27.14013412351018,24.553901575596914,83.29941397124212,6.890911435888655,190.5219715648767,rice
60.193150803735854,53.21941565616898,42.375877385865486,24.75147855103763,83.73224104748488,6.159987639210755,249.29014788644014,rice
84.39608709948021,40.85648581973632,54.926196089158054,25.42149876273536,76.04348251398676,6.828276804316915,201.01273319090714,rice
91.80626905613678,59.58595579007404,33.43454145318631,26.890128387732965,84.06390463468249,6.911030079997245,315.8717193061579,rice
76.31917825995694,40.4626383564251,32.88388456299582,21.552569145103686,81.61449145292949,6.670575987408322,251.06763197320078,rice
92.40774873554035,48.13001891877907,51.62827261725853,23.20602950028613,95.6008458329481,6.812833673882503,205.7136977433487,rice
63.93661252908332,52.824724152431855,38.21229771739319,26.142001482276275,84.36618812286773,6.463585543671564,206.12825127726381,rice
57.27729162971203,43.53485047932979,46.85119035458778,24.642281232390612,75.77130610644006,6.586590462925591,255.41269518915348,rice
66.742138456983,49.53725105945528,40.465669747568,20.571089106508133,83.78893680174141,6.780392263184117,283.32204972701106,rice
95.80703078052355,34.22330632042909,32.49739968067902,25.54510580162598,84.56892975456104,6.757523843153024,394.1092596261889,rice
88.5633576603975,59.35565640180599,47.63201410794562,25.954173753917395,80.42365377679828,6.879484610246633,209.08699141849712,rice
76.44772089889986,43.14636452170897,40.65499311509058,30.943975700020527,72.66367403704126,6.843130095187257,175.49136515241395,rice
72.92102201315849,58.889505969673664,40.514240152763705,20.76676566621208,78.42348145370016,6.839798874467338,210.78533473131455,rice
83.24687884372962,48.45571839903814,34.78719721915346,30.431832267975977,85.16959511159006,5.487428706671197,247.4581725907771,rice
70.07320302847418,56.52433334796224,33.6598340925384,23.655790675599302,84.52493639490228,6.932877597085061,191.98814371776893,rice
74.98248146238578,43.25054688839044,34.77336613941031,29.29636272084329,84.02490855480478,5.869558022832478,276.71447788219103,rice
111.8323429551895,58.32465260551147,27.845040272367893,22.547297781401245,88.33455574593312,6.14616526719061,257.75277712584915,rice
91.61951080144006,38.730695284219166,39.5237971515056,14.276197979792782,76.87806179332856,6.37371592430342,190.08867272140603,rice
104.48616955897452,33.69858622039367,36.47964410642413,24.392221731858275,89.20636644533057,5.7820689244102805,286.52655008619837,rice
80.1534959152938,38.18491348952049,43.69682779410616,24.59717908672041,78.99891561420603,6.53490104249501,224.5874561255296,rice
81.70276017876873,54.62130674521047,52.68813452916282,20.286553503519453,92.66516687328134,5.523956100238749,233.92859619857666,rice
88.82475809726864,50.809918677350325,35.01840384143525,23.375633248928175,79.53499532670584,6.205317621527894,273.984083880841,rice
85.35523228947571,41.070904047393455,47.196799003466005,24.921898562629828,86.06431059419481,6.814814420961806,206.8401995631171,rice
71.59728439704546,55.472936051232615,44.88296212346772,23.937295218107554,82.58663691654391,7.138832447894212,216.3371444465668,rice
88.20646071755057,45.97807347566106,38.258550374182235,27.29633055596157,86.12708174494014,6.906754818000319,292.21915228617314,rice
80.31505762449139,54.81952971294964,37.51786594725235,24.972499057465328,81.34928472816158,6.548497982496359,263.8062810174765,rice
67.72668975149791,68.9238727568546,31.951860948002384,20.357434161636803,87.79055436750033,6.895831346981468,264.9647926820862,rice
89.4251826389642,47.87753227153085,32.82196502811335,24.22741367458118,78.61419144243945,6.987559866708875,234.11770473991444,rice
67.61754204811233,44.78614158347007,43.303451634205,22.308826341588077,77.88889802216784,6.621843605745956,249.7986628443489,rice
72.39585236943306,43.289616943816775,41.85639949886109,19.655746975508027,74.96268112811723,6.140777889373782,231.46211393152612,rice
84.66361348397007,62.753562169495524,46.86127698561616,23.520184410109717,81.90491896048655,5.998735317681096,239.2594745603044,rice
75.67012041619793,51.227185603380896,33.38215245158142,25.558039542723517,89.66369456501289,6.445619925771571,256.0684688839577,rice
90.35215987566669,43.987795281141636,41.79273985448334,24.037777202345385,82.48838049274416,6.113495108072267,240.9804069703577,rice
87.46997436868175,62.51143607795042,47.67416660868165,30.45954737253467,78.16326218555976,6.936160318360339,247.33368022953408,rice
112.8470439982651,39.91701714644849,33.282225262553794,22.201822063667933,71.38052137845096,6.23712248915962,209.6346935378521,rice
82.25590679714311,51.41755975777159,55.00936671372709,26.85127151455815,79.11548172168798,6.050792664325821,259.6767668602602,rice
60.19650189469037,66.31458765854353,49.435520965770294,22.592473043685885,73.43432735454562,7.176936187082706,235.41840618989528,rice
98.56724467960193,32.05572341205633,35.20499981636982,24.01573109915455,82.2349029688237,6.274967264260378,264.91399729389997,rice
